table,current_producer
epen_lima_estructura_trim_2001_2022,dataset_epen_lima_estructura.py
epen_lima_informalidad_trim_2001_2022,dataset_epen_lima_informalidad.py
epen_lima_ingresos_grupos_trim_2001_2022,dataset_epen_lima_ingresos_grupos.py
epen_lima_modern_annual_2022_2025,build_epen_lima_modern_annual.py
epen_lima_movil_2001_2026,build_epen_lima_movil_full.py
epen_lima_movil_modern_2022_2026,build_epen_lima_modern_movil.py
epen_lima_series_2001_2026,build_epen_lima_extended.py
epen_sectores_2022_2025,build_epen_sectores.py
epen_sectores_dpto_2025,build_epen_sectores_dpto.py
epen_theil_decomp_2025,build_epen_dpto_theil_urbano.py
epen_wage_curve_2022_2025,build_epen_dpto_econometrics.py
estructura_empleo_2004_2025,fig_trabajo.py
evento_maternidad_empleo,panel_evento_hijo_empleo.py
fig_brecha_salarial_educacion,fig_brecha_salarial_grupos.py
fig_brecha_salarial_etnico,fig_brecha_salarial_grupos.py
fig_brecha_salarial_tipoempleo,fig_brecha_salarial_grupos.py
gic_periodos,dataset_distribucion.py
gini_departamento_tiempo,dataset_gini.py
gini_nacional_tiempo,dataset_gini.py
income_change_ranked,dataset_income.py (nombre de salida dinamico)
income_percentiles_tiempo,dataset_distribucion.py
income_real_district_2021_2025,dataset_income.py (nombre de salida dinamico)
income_real_national,dataset_distribucion.py
income_real_province_2021_2025,fig_map_income.py
indicadores_departamento_2025,fig_correlaciones.py
jefatura_pobreza_tiempo,fig_jefatura_femenina_pobreza_tiempo.py
migracion_interna_tiempo,fig_migracion_interna_tiempo.py
migracion_od_departamento,dataset_migracion_od.py
module_keys,inspect_modules.py
movilidad_educativa_tiempo,panel_intergen_educacion.py
neet_juvenil_tiempo_2004_2025,fig_neet_juvenil_tiempo.py
paises_gini_tiempo_wdi,dataset_paises_wdi.py
paises_pobreza685_wdi,dataset_paises_wdi.py
panel_departamento_2004_2025,build_panel_departamento.py
panel_evento_hijo_empleo,panel_evento_hijo_empleo.py
panel_evento_hijo_empleo_profile_madre,panel_evento_hijo_empleo.py
panel_evento_hijo_empleo_profile_padre,panel_evento_hijo_empleo.py
panel_file_keys,inspect_panel.py
panel_indicators,build_panel_indicators.py
panel_intergen_educacion_2007-2011,panel_intergen_educacion.py (nombre de salida dinamico)
panel_intergen_pooled,panel_intergen_pooled.py
panel_movilidad_quintil_2007-2011,panel_movilidad_ingreso.py (nombre de salida dinamico)
panel_movilidad_quintil_2011-2015,panel_movilidad_ingreso.py (nombre de salida dinamico)
panel_movilidad_quintil_2012-2016,panel_movilidad_ingreso.py (nombre de salida dinamico)
panel_movilidad_quintil_2013-2017,panel_movilidad_ingreso.py (nombre de salida dinamico)
panel_movilidad_quintil_2014-2018,panel_movilidad_ingreso.py (nombre de salida dinamico)
panel_movilidad_quintil_2015-2019,panel_movilidad_ingreso.py (nombre de salida dinamico)
panel_movilidad_quintil_2016-2020,panel_movilidad_ingreso.py (nombre de salida dinamico)
panel_movilidad_quintil_2017-2021,panel_movilidad_ingreso.py (nombre de salida dinamico)
panel_movilidad_quintil_2018-2022,panel_movilidad_ingreso.py (nombre de salida dinamico)
panel_movilidad_quintil_2019-2023,panel_movilidad_ingreso.py (nombre de salida dinamico)
panel_validation_poverty,panel_validate.py
participacion_2025,fig_participacion.py
participacion_organizaciones_2004_2025,fig_participacion_evolution.py
pea_sexo_2004_2025,fig_pea_sexo.py
penalidad_maternidad_tiempo,fig_penalidad_maternidad_tiempo.py
poblacion_indigena_2004_2025,fig_poblacion_indigena.py
salud_cronica_discapacidad_2004_2025,fig_salud_cronica_discapacidad.py
scatter_edu_pobreza_dep_2025,fig_scatter_departamental.py
seguro_salud_2004_2025,fig_seguro_salud_evolution.py
sintesis_departamento_2025,fig_mapas_departamento.py
sis_expansion,fig_educacion_salud.py
social_coverage_by_decile_2025,fig_social_targeting.py
subempleo_horas_2004_2025,fig_subempleo_horas.py
trabajo_adolescente_tiempo,fig_trabajo_adolescente_escuela_tiempo.py
transferencias_cobertura_2013_2025,fig_transferencias_cobertura_tiempo.py
transicion_demografica_2004_2025,fig_transicion_demografica.py
trust_by_institution_2025,dataset_trust.py
trust_income_2025,fig_income_trust_pro.py
trust_income_vote_dept_2021,analysis_trust_election2.py
trust_income_vote_dept_2026,fig_trust_vote_pro.py
trust_vote_dept_2021,analysis_trust_election.py
trust_vote_dept_2026,analysis_trust_election.py
validation_income_gasto,validate_official_income.py
vivienda_servicios_2004_2025,fig_vivienda_evolution.py
who_trusts_state_2025,analysis_who_trusts_state.py
